Student,Semester Standing,Level,Winter Attitudes
1,2,Junior,Meh
2,9,Senior,Meh
3,4,Junior,Meh
4,3,Junior,Meh
5,6,Senior,Love
6,4,Junior,Meh
7,3,Junior,Meh
8,1,Junior,Meh
9,5,Senior,Love
10,4,Junior,Love
11,3,Junior,Love
12,3,Junior,Meh
13,5,Senior,Love
14,3,Junior,Meh
15,5,Senior,Meh
16,5,Senior,Love
17,5,Senior,Love
18,10,Senior,Hate
19,1,Junior,Meh
