Regular M&Ms In A Bag,Peanut M&Ms In A Bag,PB M&Ms In A Bag,Blues In A Regular Bag,Blues In A Peanut Bag,Blues In A PB Bag
16,10,14,2,7,3
15,14,19,2,4,3
14,10,19,3,7,2
16,15,15,1,6,2
16,11,12,1,6,0
14,15,12,1,7,1
15,13,18,0,7,3
16,15,14,2,5,2
14,12,16,0,5,0
16,13,15,1,7,0
16,12,15,3,6,0
15,13,17,2,3,2
15,12,14,4,4,3
14,10,17,2,3,3
14,15,19,4,5,2
16,15,14,4,7,2
16,14,20,3,5,0
16,10,12,2,6,0
16,15,13,4,7,1
13,14,12,5,3,3
15,14,19,3,5,1
15,13,12,2,3,2
14,11,16,2,2,3
16,14,19,2,4,2
21,11,12,5,3,3
